"date","new_cases"
"366","2021-01-02",2711
"367","2021-01-03",27817
"368","2021-01-04",22099
"369","2021-01-05",19026
"370","2021-01-06",18634
"371","2021-01-07",19211
"372","2021-01-08",10728
"373","2021-01-09",2167
"374","2021-01-10",25931
"375","2021-01-11",20189
"376","2021-01-12",19408
"377","2021-01-13",19807
"378","2021-01-14",20698
"379","2021-01-15",11335
"380","2021-01-16",2682
"381","2021-01-17",28922
"382","2021-01-18",22710
"383","2021-01-19",20813
"384","2021-01-20",21609
"385","2021-01-21",22604
"386","2021-01-22",12515
"387","2021-01-23",2072
"388","2021-01-24",29448
"389","2021-01-25",22205
"390","2021-01-26",20900
"391","2021-01-27",22313
"392","2021-01-28",22627
"393","2021-01-29",12464
"394","2021-01-30",2957
"395","2021-01-31",29782
"396","2021-02-01",22756
"397","2021-02-02",20040
"398","2021-02-03",20247
"399","2021-02-04",21010
"400","2021-02-05",11800
"401","2021-02-06",1213
"402","2021-02-07",25685
"403","2021-02-08",19805
"404","2021-02-09",17513
"405","2021-02-10",17191
"406","2021-02-11",17781
"407","2021-02-12",10098
"408","2021-02-13",2168
"409","2021-02-14",23782
"410","2021-02-15",19739
"411","2021-02-16",19549
"412","2021-02-17",20133
"413","2021-02-18",21167
"414","2021-02-19",12519
"415","2021-02-20",2085
"416","2021-02-21",28726
"417","2021-02-22",22181
"418","2021-02-23",20162
"419","2021-02-24",20736
"420","2021-02-25",20752
"421","2021-02-26",12393
"422","2021-02-27",2277
"423","2021-02-28",27422
"424","2021-03-01",20412
"425","2021-03-02",20453
"426","2021-03-03",19786
"427","2021-03-04",21912
"428","2021-03-05",13157
"429","2021-03-06",2364
"430","2021-03-07",29327
"431","2021-03-08",23466
"432","2021-03-09",23706
"433","2021-03-10",23945
"434","2021-03-11",26255
"435","2021-03-12",17026
"436","2021-03-13",4135
"437","2021-03-14",38276
"438","2021-03-15",30555
"439","2021-03-16",30439
"440","2021-03-17",30375
"441","2021-03-18",33123
"442","2021-03-19",20670
"443","2021-03-20",4986
"444","2021-03-21",46270
"445","2021-03-22",38088
"446","2021-03-23",37136
"447","2021-03-24",37079
"448","2021-03-25",39932
"449","2021-03-26",24890
"450","2021-03-27",5122
"451","2021-03-28",52323
"452","2021-03-29",43554
"453","2021-03-30",39629
"454","2021-03-31",38379
"455","2021-04-01",38483
"456","2021-04-02",24320
"457","2021-04-03",3775
"458","2021-04-04",8602
"459","2021-04-05",53843
"460","2021-04-06",39110
"461","2021-04-07",35899
"462","2021-04-08",37967
"463","2021-04-09",23785
"464","2021-04-10",3728
"465","2021-04-11",46288
"466","2021-04-12",34343
"467","2021-04-13",30754
"468","2021-04-14",31275
"469","2021-04-15",32128
"470","2021-04-16",20291
"471","2021-04-17",4515
"472","2021-04-18",39723
"473","2021-04-19",30755
"474","2021-04-20",29142
"475","2021-04-21",26869
"476","2021-04-22",28363
"477","2021-04-23",17221
"478","2021-04-24",3476
"479","2021-04-25",32465
"480","2021-04-26",24812
"481","2021-04-27",21077
"482","2021-04-28",20966
"483","2021-04-29",22575
"484","2021-04-30",3828
"485","2021-05-01",3376
